tokenAddress,CollectionName,Symbol,TokenStandard,TotalSupply,AveragePriceRecent,FloorPriceRecent,RecentTradesCollected,ContractAddress,Chain
0x4e1f41613c9084fdb9e34e11fae9412427480e56,Terraforms,TERRAFORMS,ERC721,,4.011e+17,3.81e+17,10.0,,
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,Meebits,⚇,ERC721,,6.21894e+17,5.9e+17,10.0,,
0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,BAYC,ERC721,,1.1525865474000001e+19,1.033e+19,10.0,,
0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,CRYPTOPUNKS,Ͼ,CRYPTOPUNKS,,4.2161e+19,3.85e+19,10.0,,
0x60e4d786628fea6478f785a6d7e704777c86a7c6,MutantApeYachtClub,MAYC,ERC721,,1.5708e+18,7.88e+17,10.0,,
0xce25e60a89f200b1fa40f6c313047ffe386992c3,dotdotdot,dotdotdot,ERC721,,3.134999998e+16,1.47e+16,10.0,,
0xed5af388653567af2f388e6224dc7c4b3241c544,Azuki,AZUKI,ERC721,,3.0325499e+18,1.8492e+18,10.0,,
0x81ae0be3a8044772d04f32398bac1e1b4b215aa8,Dreadfulz,Dreadfulz,ERC721,,5010500000000000.0,1400000000000000.0,10.0,,
0xbd3531da5cf5857e7cfaa92426877b022e612cf8,PudgyPenguins,PPG,ERC721,,7.22602e+18,6.9e+17,10.0,,
0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,Art Blocks,BLOCKS,ERC721,,3.0655939147799997e+18,5616000000000000.0,10.0,,
0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,Otherdeed,OTHR,ERC721,,2.14955e+17,1.63815e+17,10.0,,
0x1dfe7ca09e99d10835bf73044a23b73fc20623df,More Loot,MLOOT,ERC721,,8954800000000000.0,299000000000000.0,10.0,,
0x495f947276749ce646f68ac8c248420045cb7b5e,OpenSea Shared Storefront,OPENSTORE,ERC1155,,2.8321019000001996e+16,10000.0,10.0,,
0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,CloneX,CloneX,ERC721,,2.111133e+17,1.3e+17,10.0,,
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7,Loot,LOOT,ERC721,,1.11724959e+17,5e+16,10.0,,
0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,Doodles,DOODLE,ERC721,,9.91499e+17,9.4e+17,10.0,,
0x23581767a106ae21c074b2276d25e5c3e136a68b,Moonbirds,MOONBIRD,ERC721,,6.5731899e+17,6.29e+17,10.0,,
0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,BoredApeKennelClub,BAKC,ERC721,,3.386778e+17,3.3e+17,10.0,,
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,Wrapped Cryptopunks,WPUNKS,ERC721,,4.126625197846301e+19,335114720891.0,10.0,,
0x595a8974c1473717c4b5d456350cd594d9bda687,MineablePunks,MPUNKS,ERC721,,1.03893e+16,2914500000000000.0,10.0,,
0x5af0d9827e0c53e4799bb226655a1de152a425a5,Milady,MIL,ERC721,,2.101539e+18,2.04e+18,10.0,,
0x8821bee2ba0df28761afff119d66390d594cd280,DeGods,DEGODS,ERC721,,3.872694593775e+17,3.5e+17,10.0,,
0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,Beanz,BEANZ,ERC721,,1.040644e+17,9e+16,10.0,,
0x1a92f7381b9f03921564a437210bb9396471050c,Cool Cats,COOL,ERC721,,3.2524614344e+17,3.1e+17,10.0,,
0x524cab2ec69124574082676e6f654a18df49a048,LilPudgys,LP,ERC721,,9.688313499999941e+17,2.4328999999999e+17,10.0,,
0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,Audioglyphs,AG,ERC721,,9808000000000000.0,8695000000000000.0,10.0,,
0x50f5474724e0ee42d9a4e711ccfb275809fd6d4a,Sandbox's LANDs,LAND,ERC721,,1.93402e+18,1.4012e+18,10.0,,
0xa5d37c0364b9e6d96ee37e03964e7ad2b33a93f4,CATGIRL ACADEMIA,CAT,ERC721,,1.0905e+16,0.0,10.0,,
0xc2c747e0f7004f9e8817db2ca4997657a7746928,Hashmasks,HM,ERC721,,7.906605e+16,5e+16,10.0,,
0xf07468ead8cf26c752c676e43c814fee9c8cf402,CryptoPhunksV2,PHUNK,ERC721,,6.1971800000002e+16,10000.0,10.0,,
0x769272677fab02575e84945f03eca517acc544cc,Captainz,Captainz,ERC721,,3.560095e+17,3.44715e+17,10.0,,
0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6,Cryptoadz,TOADZ,ERC721,,5.474450880836666e+17,4.9e+17,10.0,,
0xe785e82358879f061bc3dcac6f0444462d4b5330,World Of Women,WOW,ERC721,,3.5456316e+17,3.3969e+17,10.0,,
0x76be3b62873462d2142405439777e971754e8e77,parallel,LL,ERC1155,,9149550000000000.0,1800000000000000.0,10.0,,
0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,Ethereum Name Service,ENS,ERC721,,7.5652596e+17,60000000000000.0,10.0,,
